card_id,name,set_folder,api_set_id,api_set_name,number,rarity,image_path,matched
sv3pt5-1,Bulbasaur,151,sv3pt5,151,001,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_001_std.jpg,True
sv3pt5-2,Ivysaur,151,sv3pt5,151,002,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_002_std.jpg,True
sv3pt5-3,Venusaur ex,151,sv3pt5,151,003,Double Rare,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_003_std.jpg,True
sv3pt5-4,Charmander,151,sv3pt5,151,004,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_004_std.jpg,True
sv3pt5-5,Charmeleon,151,sv3pt5,151,005,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_005_std.jpg,True
sv3pt5-6,Charizard ex,151,sv3pt5,151,006,Double Rare,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_006_std.jpg,True
sv3pt5-7,Squirtle,151,sv3pt5,151,007,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_007_std.jpg,True
sv3pt5-8,Wartortle,151,sv3pt5,151,008,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_008_std.jpg,True
sv3pt5-9,Blastoise ex,151,sv3pt5,151,009,Double Rare,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_009_std.jpg,True
sv3pt5-10,Caterpie,151,sv3pt5,151,010,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_010_std.jpg,True
sv3pt5-11,Metapod,151,sv3pt5,151,011,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_011_std.jpg,True
sv3pt5-12,Butterfree,151,sv3pt5,151,012,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_012_std.jpg,True
sv3pt5-13,Weedle,151,sv3pt5,151,013,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_013_std.jpg,True
sv3pt5-14,Kakuna,151,sv3pt5,151,014,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_014_std.jpg,True
sv3pt5-15,Beedrill,151,sv3pt5,151,015,Rare,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_015_std.jpg,True
sv3pt5-16,Pidgey,151,sv3pt5,151,016,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_016_std.jpg,True
sv3pt5-17,Pidgeotto,151,sv3pt5,151,017,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_017_std.jpg,True
sv3pt5-18,Pidgeot,151,sv3pt5,151,018,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_018_std.jpg,True
sv3pt5-19,Rattata,151,sv3pt5,151,019,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_019_std.jpg,True
sv3pt5-20,Raticate,151,sv3pt5,151,020,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_020_std.jpg,True
sv3pt5-21,Spearow,151,sv3pt5,151,021,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_021_std.jpg,True
sv3pt5-22,Fearow,151,sv3pt5,151,022,Uncommon,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_022_std.jpg,True
sv3pt5-23,Ekans,151,sv3pt5,151,023,Common,C:\Users\CKear\PycharmProjects\SeniorProject\Card_Dataset\151\sv3-5_en_023_std.jpg,True
